Flow_Duration,Protocol,Src_IP,Dst_IP,Total_Fwd_Packets,Total_Backward_Packets,Label
11798,ICMP,24.10.3.142,192.168.10.195,1,1,Normal
18132,TCP,123.236.80.83,192.168.226.38,15,17,Normal
20674,TCP,10.146.128.112,10.17.112.186,20,15,Normal
9540,TCP,23.197.249.67,172.22.164.24,6,6,Normal
21232,TCP,101.121.127.61,172.19.198.81,18,16,Normal
30217,TCP,10.27.10.209,30.51.205.108,15,13,Normal
22416,TCP,172.30.132.19,192.168.113.225,9,16,Normal
9084,TCP,172.28.205.115,238.91.193.223,8,3,Normal
49500,TCP,192.168.190.220,180.197.202.0,15,7,Normal
18427,TCP,172.18.204.223,15.72.107.30,5,13,Normal
27821,UDP,172.27.107.138,172.16.156.181,2,7,Normal
16085,UDP,192.168.57.184,10.61.225.10,6,9,Normal
12414,TCP,10.245.14.168,10.160.64.210,14,14,Normal
30277,UDP,172.28.242.165,10.5.252.118,4,1,Normal
43532,UDP,192.168.212.86,117.58.46.196,6,7,Normal
31080,TCP,10.127.56.32,37.198.199.109,12,14,Normal
17983,TCP,192.168.26.120,10.17.207.133,14,5,Normal
26041,TCP,172.26.36.202,192.168.246.51,14,10,Normal
17435,TCP,77.174.162.2,60.88.241.106,18,6,Normal
26479,TCP,172.29.214.72,10.192.251.117,8,11,Normal
25651,TCP,192.168.100.133,10.237.74.155,18,9,Normal
25790,UDP,59.137.50.211,10.28.185.247,9,6,Normal
14324,TCP,172.30.252.54,99.236.206.94,11,14,Normal
8921,UDP,208.129.94.62,172.27.150.119,8,4,Normal
21755,UDP,172.28.76.248,172.25.240.53,6,5,Normal
12782,TCP,83.174.128.141,10.231.119.226,8,9,Normal
13148,TCP,72.191.35.77,192.168.30.236,12,11,Normal
19301,TCP,172.23.0.89,192.168.0.37,7,8,Normal
20481,TCP,10.113.7.66,172.31.138.139,10,6,Normal
11117,TCP,192.168.0.32,10.222.25.143,9,13,Normal
30005,TCP,111.161.37.3,172.30.20.181,18,8,Normal
19308,TCP,10.115.80.105,249.192.124.114,8,9,Normal
5012,UDP,10.18.235.240,172.26.29.254,8,7,Normal
6649,TCP,10.23.40.73,224.66.150.249,10,7,Normal
12692,TCP,172.18.157.196,192.168.240.172,23,4,Normal
13509,TCP,10.2.209.254,174.158.49.224,16,15,Normal
25652,TCP,171.1.252.187,10.202.59.250,10,11,Normal
7027,TCP,10.231.217.249,172.23.234.35,3,10,Normal
15846,TCP,192.168.125.144,227.149.133.193,17,10,Normal
50547,TCP,123.205.124.253,172.24.209.112,12,16,Normal
17921,TCP,10.53.217.20,10.115.77.76,15,12,Normal
9550,UDP,172.26.230.196,10.165.94.68,5,0,Normal
24060,TCP,192.168.11.218,172.21.146.28,13,10,Normal
11786,TCP,172.29.52.205,82.15.29.209,15,10,Normal
19513,TCP,192.168.35.69,10.164.204.127,12,10,Normal
10117,TCP,10.235.187.185,249.15.193.113,6,2,Normal
13347,TCP,10.14.95.109,192.168.77.212,7,5,Normal
7517,TCP,192.168.173.11,172.26.69.182,11,3,Normal
20855,UDP,192.168.229.196,192.168.9.63,6,10,Normal
17412,TCP,10.87.19.120,192.168.130.20,11,10,Normal
13585,TCP,10.87.18.147,117.99.29.185,12,10,Normal
37352,UDP,10.202.99.64,192.168.125.184,6,5,Normal
4255,TCP,192.168.190.149,10.34.180.206,9,4,Normal
28259,TCP,10.143.139.169,172.24.184.25,17,6,Normal
13226,TCP,172.24.160.154,239.98.182.183,19,6,Normal
14440,UDP,192.168.244.20,24.247.155.82,3,10,Normal
2580,TCP,118.168.250.26,109.181.197.72,4,0,Normal
13578,TCP,211.142.181.76,192.168.131.1,5,9,Normal
32058,TCP,172.24.15.62,172.18.175.134,18,23,Attack
18691,TCP,192.168.227.42,192.168.229.88,2,14,Normal
18171,TCP,10.56.78.87,10.251.167.233,14,4,Normal
7060,TCP,172.17.108.34,192.168.21.175,1,6,Normal
24927,TCP,172.20.74.64,10.28.157.232,15,14,Normal
38346,TCP,172.29.247.244,24.1.201.253,36,23,Attack
8056,TCP,192.168.54.114,10.17.6.109,9,11,Normal
28515,TCP,172.16.182.190,130.250.73.243,16,9,Normal
56046,TCP,192.168.148.110,10.9.200.144,10,13,Normal
22897,TCP,172.19.227.196,172.16.139.143,19,8,Normal
12445,ICMP,10.242.214.59,172.25.222.244,3,1,Normal
18978,UDP,172.20.224.133,10.114.82.194,20,9,Attack
12995,TCP,192.168.0.30,172.20.137.243,18,13,Normal
14819,TCP,100.243.16.32,10.72.191.83,20,7,Normal
15143,ICMP,10.255.14.249,10.172.156.145,5,2,Normal
30773,UDP,160.253.83.241,10.220.236.169,7,9,Normal
9699,UDP,192.168.196.245,75.190.196.70,4,6,Normal
34791,TCP,172.23.209.187,172.26.175.54,37,35,Attack
13774,TCP,10.145.132.105,172.21.188.0,9,7,Normal
18924,TCP,172.19.73.247,121.175.94.154,10,8,Normal
16302,UDP,10.91.198.121,172.20.238.1,8,9,Normal
8729,TCP,172.22.173.133,10.38.152.159,1,13,Normal
19098,TCP,10.144.164.217,147.157.97.110,32,27,Attack
38483,TCP,10.143.232.248,172.24.101.144,6,10,Normal
20108,TCP,172.16.0.14,172.26.222.255,10,9,Normal
26511,TCP,10.178.206.110,192.168.151.141,14,12,Normal
26650,UDP,65.253.142.5,172.18.180.21,12,4,Normal
8590,UDP,192.168.211.247,207.97.175.241,10,7,Normal
22038,UDP,192.168.114.110,192.168.208.5,8,10,Normal
18230,TCP,192.168.155.144,59.3.44.183,8,10,Normal
10152,TCP,10.26.147.193,24.232.70.247,13,5,Normal
18566,TCP,172.30.103.139,192.168.215.166,18,9,Normal
16302,TCP,192.168.182.106,192.168.245.14,14,16,Normal
20999,TCP,10.174.185.141,192.168.92.96,13,10,Normal
10121,TCP,63.212.138.54,135.199.237.106,41,17,Attack
13125,TCP,172.21.192.103,192.168.107.143,10,9,Normal
22137,TCP,192.168.76.172,172.17.77.164,12,15,Normal
14743,TCP,10.60.74.85,10.187.17.236,16,7,Normal
44804,TCP,10.80.73.184,10.235.254.105,39,46,Attack
41952,TCP,192.168.12.33,192.168.241.46,3,9,Normal
38125,TCP,192.168.9.155,172.22.221.231,19,59,Attack
19099,TCP,10.4.117.232,192.168.188.0,15,8,Normal
12847,UDP,202.75.42.105,21.82.228.182,7,4,Normal
26593,TCP,229.206.148.154,172.28.177.150,21,0,Normal
14791,TCP,10.44.197.109,172.28.106.228,13,9,Normal
13363,TCP,78.122.84.36,10.87.92.242,7,8,Normal
41671,TCP,172.22.3.162,10.160.46.42,14,48,Attack
7032,ICMP,146.170.26.165,79.71.14.222,3,2,Normal
16150,TCP,214.52.156.138,10.12.72.109,9,15,Normal
17037,UDP,10.62.75.117,10.160.170.74,8,8,Normal
15997,TCP,192.168.108.162,192.168.117.121,14,9,Normal
39193,TCP,10.74.157.240,10.96.251.239,16,26,Normal
18871,TCP,172.19.146.104,192.168.213.135,6,9,Normal
5276,UDP,10.218.13.123,172.29.74.97,3,6,Normal
15380,TCP,10.90.170.40,76.185.191.223,13,17,Normal
45822,TCP,10.34.100.131,22.63.97.52,35,41,Attack
26035,TCP,10.120.25.8,227.27.38.56,2,10,Normal
64283,TCP,192.168.251.218,141.205.255.195,7,12,Normal
10777,TCP,10.216.28.87,16.130.185.91,17,7,Normal
47244,TCP,192.168.244.149,172.21.191.44,14,8,Normal
22757,TCP,10.47.101.21,10.59.128.201,12,11,Normal
27675,UDP,48.146.227.112,10.129.105.193,4,3,Normal
7898,UDP,192.168.135.66,10.92.9.109,10,4,Normal
31314,TCP,10.15.90.144,192.168.172.182,18,2,Normal
59296,TCP,193.16.32.172,10.183.82.237,54,30,Attack
25414,TCP,192.168.15.173,10.170.192.232,11,10,Normal
37424,TCP,172.27.212.249,172.24.8.174,5,14,Normal
10943,TCP,10.149.69.225,10.18.244.244,9,6,Normal
9332,TCP,208.199.120.6,111.105.174.185,22,8,Normal
8940,UDP,10.102.245.145,23.104.78.186,5,7,Normal
7993,UDP,172.21.176.74,10.186.204.58,8,8,Normal
17127,TCP,192.168.34.163,192.168.231.153,12,13,Normal
24039,UDP,172.19.98.192,90.178.199.133,14,4,Normal
5078,TCP,192.168.14.188,10.145.245.176,9,3,Normal
29041,TCP,10.159.212.26,172.24.101.58,13,10,Normal
28429,TCP,146.139.197.250,3.159.230.121,18,9,Normal
22386,TCP,10.217.61.53,172.16.44.95,11,10,Normal
6898,UDP,10.130.72.59,192.168.40.84,7,6,Normal
16454,UDP,45.146.97.17,109.158.10.36,8,7,Normal
43184,TCP,106.217.249.229,10.194.206.91,10,12,Normal
15140,ICMP,192.168.57.85,60.239.108.148,3,1,Normal
17530,TCP,172.19.125.46,192.168.184.73,11,9,Normal
8400,TCP,192.168.60.99,192.168.209.4,6,8,Normal
35068,TCP,172.21.239.74,10.218.244.157,15,13,Normal
13747,UDP,194.103.164.191,191.101.236.57,9,3,Normal
29228,TCP,99.74.86.202,10.117.79.70,16,17,Normal
10901,TCP,172.16.31.49,192.168.188.206,14,9,Normal
37954,TCP,172.30.230.130,213.210.126.13,7,9,Normal
22078,ICMP,192.168.237.244,10.45.196.220,2,1,Normal
33427,UDP,10.183.112.160,192.168.151.134,12,8,Normal
24184,UDP,172.31.156.117,10.188.158.183,6,6,Normal
14877,UDP,192.168.243.195,192.168.206.52,7,4,Normal
9471,UDP,192.168.214.133,10.112.104.126,3,7,Normal
13522,TCP,10.144.140.222,10.30.237.55,17,7,Normal
21119,TCP,10.212.22.198,192.168.230.199,8,13,Normal
11680,UDP,172.23.224.56,172.20.96.30,5,2,Normal
19061,TCP,192.168.190.20,172.27.65.105,9,15,Normal
32425,TCP,172.26.226.111,10.73.220.93,31,22,Attack
8217,TCP,10.168.201.59,192.168.47.128,9,5,Normal
19908,UDP,192.168.181.156,172.18.177.43,3,5,Normal
12052,TCP,136.63.1.68,192.168.229.8,5,8,Normal
32989,UDP,172.28.121.227,10.62.1.208,8,6,Normal
14901,TCP,192.168.196.5,188.253.216.199,11,5,Normal
29627,TCP,10.93.23.20,172.23.122.46,10,11,Normal
25933,UDP,172.16.237.83,192.168.173.233,9,5,Normal
17328,TCP,192.168.205.191,192.168.106.57,8,10,Normal
7563,TCP,10.13.240.28,192.168.245.223,10,5,Normal
23139,TCP,10.228.12.175,10.85.150.109,13,10,Normal
22376,UDP,192.168.95.5,10.192.112.101,4,4,Normal
39340,TCP,10.144.120.124,10.113.79.165,11,3,Normal
31095,TCP,10.126.192.113,172.25.72.142,8,12,Normal
13869,UDP,172.30.120.97,172.28.4.178,6,4,Normal
15944,ICMP,192.168.17.8,10.2.154.135,4,2,Normal
20000,TCP,10.219.46.203,144.249.201.188,15,6,Normal
43332,TCP,172.30.241.186,172.25.119.185,35,29,Attack
23791,TCP,10.219.77.59,24.212.63.196,13,19,Normal
26230,TCP,192.168.106.200,192.168.103.72,12,14,Normal
24332,TCP,172.25.122.51,106.42.46.157,22,16,Normal
9217,TCP,172.22.187.122,172.20.8.95,12,14,Normal
18898,TCP,101.129.70.174,10.47.157.148,12,9,Normal
32647,TCP,147.254.255.205,192.168.253.209,16,13,Normal
18517,TCP,192.168.163.167,252.247.213.229,14,9,Normal
25907,TCP,172.16.65.82,157.33.246.33,9,5,Normal
31385,TCP,10.24.134.202,57.239.43.62,12,10,Normal
20339,UDP,192.168.255.248,243.95.11.14,10,2,Normal
6065,UDP,172.28.18.112,172.67.139.96,8,5,Normal
21853,UDP,172.18.156.50,10.95.227.121,19,22,Attack
36487,TCP,10.81.36.131,10.190.151.2,18,14,Normal
23252,TCP,79.70.174.168,238.250.60.20,12,9,Normal
15392,UDP,192.168.21.101,198.73.246.83,11,10,Normal
21602,TCP,172.27.154.166,192.168.233.248,19,11,Normal
42326,TCP,172.19.1.71,172.18.245.56,12,12,Normal
13035,TCP,172.20.57.151,10.149.25.204,15,8,Normal
34902,TCP,172.23.197.101,172.27.205.138,11,22,Normal
14383,ICMP,172.28.142.75,172.16.143.224,2,2,Normal
32722,TCP,192.168.156.94,201.186.93.87,31,28,Attack
10977,UDP,192.168.160.90,192.168.208.128,5,3,Normal
24662,TCP,10.126.143.20,10.100.235.32,14,11,Normal
18163,TCP,172.31.240.173,192.168.206.14,20,10,Normal
35775,TCP,10.233.177.40,118.58.70.209,12,9,Normal
23471,TCP,242.160.32.222,10.90.246.187,7,12,Normal
24109,TCP,172.24.179.84,224.165.57.113,11,4,Normal
29954,TCP,97.139.139.172,172.18.196.114,17,7,Normal
9852,ICMP,192.168.139.118,192.168.230.166,9,6,Attack
40763,TCP,192.168.217.10,10.129.75.168,13,5,Normal
18615,UDP,10.12.6.98,209.88.77.200,12,4,Normal
13685,UDP,172.23.156.212,172.30.114.175,1,8,Normal
24029,TCP,82.225.23.9,192.168.182.138,15,5,Normal
9225,UDP,192.168.27.52,10.80.248.235,7,8,Normal
67535,TCP,172.29.146.235,172.16.184.55,62,37,Attack
22243,TCP,172.30.160.30,10.135.60.43,15,12,Normal
14418,UDP,172.30.231.82,138.122.189.222,7,3,Normal
24523,UDP,192.168.35.36,172.28.133.177,7,8,Normal
26983,TCP,10.191.3.43,202.221.3.231,17,10,Normal
26759,TCP,64.56.173.15,192.168.53.43,10,16,Normal
35401,TCP,192.168.51.26,10.90.61.181,12,12,Normal
19063,UDP,192.168.65.84,10.172.208.203,4,5,Normal
22026,TCP,172.25.44.19,192.168.61.231,17,4,Normal
24441,TCP,192.168.213.190,41.41.3.158,11,11,Normal
13453,TCP,192.168.17.26,109.229.108.242,18,13,Normal
26001,TCP,172.22.240.196,192.168.131.67,20,13,Normal
14661,TCP,192.168.229.104,172.26.102.97,16,6,Normal
16787,UDP,67.21.138.90,172.21.82.139,4,10,Normal
10940,TCP,10.216.55.146,192.168.46.29,9,7,Normal
44392,TCP,172.30.16.85,192.168.128.113,1,14,Normal
10836,TCP,172.20.70.224,31.196.227.37,6,6,Normal
27129,UDP,17.196.159.251,10.125.127.186,11,0,Normal
20016,UDP,192.168.64.211,172.16.190.28,12,4,Normal
20096,TCP,10.243.56.248,192.168.194.249,11,6,Normal
13343,TCP,192.168.230.129,192.168.254.29,5,6,Normal
8821,TCP,82.111.74.99,192.168.217.59,8,5,Normal
23455,TCP,172.28.217.196,195.246.207.71,19,6,Normal
9232,UDP,172.18.231.69,192.168.231.103,1,1,Normal
16539,TCP,172.30.147.3,192.168.155.40,14,3,Normal
35716,TCP,10.216.253.181,10.167.248.161,11,17,Normal
11986,UDP,192.168.88.180,10.253.146.237,8,6,Normal
10118,TCP,172.21.177.92,192.168.141.123,9,9,Normal
24080,TCP,10.9.222.223,10.30.197.18,10,11,Normal
30203,TCP,172.19.133.168,172.16.212.135,19,8,Normal
17795,TCP,10.124.206.196,172.17.42.48,8,9,Normal
22877,TCP,192.168.178.241,172.18.72.48,16,8,Normal
13232,TCP,10.65.3.128,172.18.31.143,13,12,Normal
40117,TCP,152.51.136.155,172.17.245.172,22,13,Normal
24581,TCP,160.57.23.247,10.76.239.104,7,1,Normal
24188,TCP,192.168.187.17,172.28.252.200,12,7,Normal
41366,TCP,122.250.163.238,172.17.102.43,32,18,Attack
15272,TCP,192.168.246.77,192.168.226.226,9,7,Normal
13502,TCP,10.28.5.98,192.168.177.157,11,7,Normal
26630,TCP,10.178.19.245,10.232.199.149,8,12,Normal
10161,UDP,192.168.88.58,192.168.151.156,7,6,Normal
5883,UDP,10.40.53.212,196.191.99.25,7,3,Normal
17085,TCP,10.176.157.245,192.168.140.2,18,18,Normal
19933,TCP,10.132.189.47,10.215.114.29,17,2,Normal
17733,TCP,133.114.223.46,192.168.243.164,8,12,Normal
18381,TCP,192.168.208.85,192.168.223.180,8,7,Normal
5815,TCP,10.173.72.5,172.23.105.217,5,8,Normal
18712,TCP,62.62.101.44,192.168.233.111,8,0,Normal
26756,TCP,10.100.227.71,10.182.133.220,17,11,Normal
36966,TCP,172.24.134.97,10.51.106.142,18,40,Attack
13678,TCP,50.93.31.14,10.200.40.216,12,14,Normal
10361,TCP,54.224.127.48,172.29.17.243,15,6,Normal
6717,UDP,10.196.234.128,172.31.224.14,10,7,Normal
45991,TCP,52.76.101.152,10.163.47.27,17,13,Normal
17363,UDP,172.30.178.80,172.17.193.0,14,8,Normal
51732,TCP,205.254.176.251,10.217.250.198,27,32,Attack
28985,UDP,192.168.132.193,10.32.108.120,4,8,Normal
7328,UDP,183.58.112.25,10.216.214.6,5,11,Normal
23561,ICMP,10.70.125.167,172.29.241.145,2,1,Normal
22267,UDP,172.27.142.172,172.23.114.132,6,4,Normal
23504,UDP,192.168.68.64,37.130.0.84,15,16,Attack
11926,TCP,192.168.131.84,172.28.127.78,12,8,Normal
30506,UDP,172.22.69.214,192.168.246.188,8,4,Normal
18916,TCP,102.146.94.16,23.137.28.244,11,17,Normal
8759,TCP,172.28.97.7,10.247.65.81,9,8,Normal
58602,TCP,10.66.237.141,197.152.138.190,21,25,Attack
29964,UDP,10.198.210.235,172.24.174.69,22,11,Attack
5229,TCP,172.24.37.199,172.17.83.164,6,11,Normal
11855,TCP,10.110.95.12,116.28.163.241,14,12,Normal
18512,TCP,10.155.213.254,98.215.177.142,6,15,Normal
14703,TCP,163.218.153.141,245.216.250.61,9,5,Normal
57890,TCP,10.155.76.104,192.168.132.9,56,46,Attack
6683,TCP,16.48.129.225,172.25.216.51,10,6,Normal
19270,TCP,192.168.109.169,185.65.180.26,14,4,Normal
13286,TCP,16.230.191.245,224.108.52.50,24,5,Normal
37101,TCP,172.20.221.53,172.24.4.203,45,28,Attack
8181,TCP,172.20.5.229,192.168.141.200,7,6,Normal
20889,TCP,192.168.109.18,10.207.9.2,17,11,Normal
9600,TCP,194.164.14.44,172.27.52.212,8,7,Normal
13454,TCP,192.168.110.141,253.82.248.10,8,13,Normal
31712,TCP,172.21.249.77,10.77.109.36,16,12,Normal
28358,UDP,200.137.175.114,216.135.54.158,22,18,Attack
4023,UDP,192.168.152.3,10.174.113.141,2,6,Normal
25052,TCP,10.47.105.104,10.73.24.10,17,10,Normal
12801,TCP,192.168.130.207,10.149.219.128,12,7,Normal
13930,TCP,172.19.154.159,172.26.175.228,9,7,Normal
11796,UDP,10.121.21.229,10.0.38.197,8,4,Normal
19382,TCP,192.168.232.226,192.168.41.77,10,39,Attack
31078,UDP,172.25.133.68,10.60.64.44,9,6,Normal
13997,TCP,192.168.252.150,192.168.124.62,7,8,Normal
12441,TCP,172.27.22.9,253.209.134.135,14,10,Normal
15979,TCP,10.81.235.184,172.30.105.113,8,15,Normal
4475,UDP,192.168.158.245,47.5.100.195,5,0,Normal
18453,TCP,10.201.84.20,10.55.251.158,12,10,Normal
10122,TCP,192.168.10.215,192.168.198.40,12,11,Normal
24127,UDP,172.26.192.141,172.21.143.211,6,8,Normal
18780,TCP,248.15.215.160,192.168.201.26,5,9,Normal
17870,TCP,192.168.79.52,172.23.94.19,8,14,Normal
27678,TCP,172.29.85.126,16.80.206.117,8,10,Normal
15220,UDP,172.31.161.250,10.253.157.166,8,6,Normal
33327,TCP,10.82.59.212,172.22.227.91,8,11,Normal
19601,UDP,172.29.15.161,172.27.36.192,8,6,Normal
31161,TCP,10.59.61.146,172.25.46.95,19,10,Normal
19627,ICMP,10.113.197.254,172.21.178.209,1,3,Normal
30882,UDP,134.92.246.46,10.64.118.236,11,7,Normal
9407,TCP,10.221.121.201,172.23.158.83,11,12,Normal
8062,UDP,10.34.167.111,161.146.120.59,1,9,Normal
7995,UDP,192.168.41.36,172.27.193.13,10,5,Normal
18172,UDP,172.21.117.16,192.168.194.171,10,7,Normal
10721,TCP,179.171.1.134,10.221.214.190,7,10,Normal
15188,TCP,172.19.145.222,153.115.65.85,13,9,Normal
14739,TCP,172.20.184.36,58.249.61.151,10,13,Normal
14568,TCP,10.46.8.223,10.189.54.140,12,17,Normal
35875,TCP,192.168.50.41,192.168.90.211,8,11,Normal
30484,TCP,192.168.74.247,117.85.226.96,7,12,Normal
23117,TCP,172.31.46.136,10.110.5.37,6,11,Normal
25442,TCP,10.124.67.194,10.236.92.145,17,10,Normal
26023,TCP,172.17.141.175,192.168.100.78,7,13,Normal
22619,UDP,192.168.127.178,192.168.111.190,9,5,Normal
5413,UDP,132.225.215.133,172.188.38.252,4,2,Normal
20521,TCP,208.112.145.142,192.168.167.99,22,7,Normal
25787,TCP,172.24.125.39,248.55.228.87,24,33,Attack
5159,UDP,177.122.112.157,192.168.128.220,4,7,Normal
43860,TCP,192.168.75.148,172.29.156.206,61,17,Attack
20722,TCP,252.84.86.187,172.23.235.54,10,11,Normal
11799,TCP,10.17.188.213,172.27.231.83,6,6,Normal
30202,TCP,10.198.194.13,10.182.49.250,11,17,Normal
19844,TCP,172.23.132.76,10.236.111.98,7,8,Normal
1913,UDP,172.30.13.179,10.148.2.33,15,7,Normal
12771,TCP,1.164.228.222,192.168.126.56,3,9,Normal
49913,TCP,192.168.71.210,192.168.67.22,49,47,Attack
24639,UDP,10.185.145.197,10.32.31.1,12,7,Normal
23796,UDP,10.148.174.85,10.67.248.105,10,2,Normal
14966,TCP,192.168.151.129,172.22.155.107,8,4,Normal
18215,TCP,172.19.32.138,192.168.120.62,16,11,Normal
61776,TCP,192.168.116.232,62.207.117.78,41,48,Attack
23208,TCP,172.21.118.224,192.168.89.205,14,14,Normal
26696,TCP,172.17.223.246,192.168.172.47,15,13,Normal
7110,UDP,172.16.12.43,192.168.238.201,4,8,Normal
10772,TCP,10.0.233.185,10.104.242.113,14,8,Normal
27696,TCP,10.181.230.58,196.217.254.214,15,15,Normal
24077,UDP,10.112.205.191,163.50.98.74,7,4,Normal
24586,TCP,252.147.190.113,172.24.52.243,8,4,Normal
40647,UDP,10.156.162.165,192.168.103.244,18,18,Attack
31610,UDP,10.229.132.146,10.104.56.101,13,4,Normal
27462,TCP,172.16.144.134,192.168.173.149,13,10,Normal
7296,TCP,192.168.252.12,10.239.247.85,11,3,Normal
4875,ICMP,172.23.106.90,192.168.119.178,1,3,Normal
13234,UDP,192.168.99.245,172.24.112.98,11,6,Normal
3179,ICMP,172.22.13.241,192.168.125.205,3,2,Normal
28313,TCP,236.166.201.13,192.168.80.84,9,8,Normal
7322,UDP,192.168.131.31,192.168.68.3,6,6,Normal
28532,TCP,192.168.252.137,192.168.232.66,21,22,Attack
17586,TCP,172.21.25.115,10.69.215.193,14,8,Normal
25926,TCP,192.168.99.99,119.77.96.254,3,8,Normal
17752,TCP,10.61.179.82,10.44.183.205,14,10,Normal
29711,TCP,10.141.39.239,172.19.154.2,12,42,Attack
17704,TCP,10.131.202.219,172.31.57.157,10,11,Normal
12446,UDP,119.73.156.31,192.168.117.23,11,5,Normal
14776,TCP,192.168.238.5,125.100.95.181,2,17,Normal
11679,TCP,155.86.174.56,192.168.242.188,1,8,Normal
32384,TCP,10.98.204.159,248.133.23.106,18,7,Normal
39942,TCP,54.241.165.198,192.168.7.237,29,27,Attack
11073,UDP,10.75.75.76,147.219.99.25,7,3,Normal
19252,UDP,172.22.223.140,192.168.151.46,5,8,Normal
10698,TCP,39.186.16.255,192.168.33.46,9,12,Normal
21608,ICMP,192.168.114.72,174.200.230.188,1,3,Normal
41325,UDP,10.222.109.104,192.168.56.135,27,14,Attack
10278,TCP,172.17.54.153,10.36.206.102,15,16,Normal
3919,UDP,85.213.27.168,10.93.192.74,4,3,Normal
15711,TCP,172.27.232.1,192.168.17.121,13,4,Normal
2721,ICMP,192.168.119.8,192.168.48.27,1,0,Normal
14776,TCP,172.20.38.91,77.29.212.93,12,1,Normal
17317,TCP,192.168.253.68,10.72.251.93,10,0,Normal
23992,TCP,183.16.37.50,192.168.63.85,14,12,Normal
16069,UDP,192.168.17.211,192.168.214.80,7,8,Normal
8307,TCP,10.1.159.49,10.111.147.235,15,6,Normal
34313,TCP,240.15.34.241,192.168.181.86,7,13,Normal
45225,TCP,192.168.248.0,172.29.194.197,50,26,Attack
8426,UDP,172.24.242.71,10.200.64.62,2,8,Normal
21246,TCP,10.78.114.26,129.227.25.97,12,9,Normal
10564,UDP,101.95.165.103,192.168.110.117,1,7,Normal
13759,TCP,192.168.205.184,10.2.96.131,11,7,Normal
43366,TCP,10.37.180.100,172.30.11.12,26,31,Attack
15018,TCP,10.135.1.9,172.26.61.60,14,8,Normal
26652,TCP,172.21.126.211,122.141.214.134,14,5,Normal
24116,TCP,10.161.202.78,10.113.84.186,8,12,Normal
46619,UDP,192.168.111.73,192.168.149.102,6,10,Normal
14834,TCP,172.16.157.88,172.19.141.15,13,5,Normal
21816,UDP,192.168.160.101,10.172.55.5,2,7,Normal
19026,TCP,10.3.249.24,172.20.136.126,9,13,Normal
10177,UDP,192.168.180.111,172.21.206.30,6,6,Normal
13113,UDP,90.228.87.99,10.195.90.110,17,16,Attack
9067,UDP,10.46.226.186,192.168.73.116,10,6,Normal
10878,TCP,192.168.72.55,28.134.220.125,15,3,Normal
48025,UDP,172.27.12.179,172.31.64.180,9,6,Normal
15634,TCP,192.168.156.118,192.168.196.138,10,0,Normal
31150,TCP,10.194.168.187,172.17.41.221,13,32,Attack
12779,TCP,10.80.25.165,192.168.247.247,13,11,Normal
41514,TCP,172.21.70.57,107.4.91.225,11,5,Normal
21359,UDP,192.168.88.82,120.52.235.101,4,0,Normal
23583,TCP,192.168.31.59,172.19.12.28,12,17,Normal
9309,UDP,10.198.132.66,85.71.128.242,7,4,Normal
33397,TCP,10.62.134.31,192.168.207.129,12,9,Normal
14520,UDP,2.204.88.165,10.240.214.66,2,6,Normal
22379,TCP,54.229.180.44,192.168.85.17,11,9,Normal
39895,TCP,172.16.224.34,245.232.32.138,21,9,Normal
32116,UDP,172.24.26.89,172.19.157.50,13,4,Normal
25104,ICMP,10.107.166.158,141.103.178.251,1,1,Normal
